x y z dx dy dz magnitude
8.97338 1.07822 18.586 5.9656 4.47274 -9.41932 12.0132
9.25693 7.56439 1.73936 7.3739 7.65147 5.07428 11.7757
9.06375 8.43596 19.4639 1.66379 -1.23184 1.34267 2.46746
9.70258 0.7201 6.15487 34.901 4.00651 -18.4595 39.6848
9.97071 19.8928 -4.68001 11.9188 -14.7724 12.4392 22.6939
9.6314 -19.4224 -2.00286 3.9687 64.1406 6.41577 64.5827
16.9385 27.8973 -4.56134 1.34799 -4.06845 6.76045 8.00456
-2.84271 31.5425 11.1958 7.42129 -6.8443 5.61413 11.5516
8.80521 25.9102 18.5363 7.7604 -6.11116 -3.52189 10.4868
1.29062 9.42745 21.1973 0.562622 11.1475 -11.5521 16.0634
-5.63588 26.9318 30.5205 9.22408 -6.67328 -4.98073 12.4267
20.5272 16.6808 0.872334 -10.7077 -9.89184 0.444043 14.5843
6.72767 10.9673 16.0485 11.7598 17.1875 -7.67864 22.196
17.5849 0.204019 18.2395 -0.128975 3.65986 -11.4921 12.0615
8.13376 4.15841 -1.48049 -0.747349 -5.51823 4.91183 7.42532
8.98975 7.66374 -1.9252 6.63193 9.59563 18.0752 21.5121
18.6351 9.51511 12.0758 -4.4855 7.33589 -4.38135 9.65045
-3.40801 19.6943 25.5207 6.21072 -12.762 -8.7386 16.6675
17.5697 31.9577 15.4339 -20.1968 -20.9983 5.08524 29.5753
18.1706 7.22367 23.7073 -1.35943 4.12764 -3.29029 5.45082
-2.11743 6.18726 9.68308 5.70672 0.111522 3.00365 6.44988
1.71605 19.1458 29.7467 0.378666 -26.2103 -33.199 42.3001
21.8179 11.2387 7.78194 9.25858 -2.71023 5.15981 10.9403
17.79 -3.86349 -1.42303 4.2134 10.3574 5.39695 12.416
13.388 -4.28854 7.65589 5.57874 14.5038 -1.01237 15.5726
20.6014 2.3655 -4.30979 1.0893 2.99628 12.6801 13.0747
15.4405 7.35499 5.59046 3.90515 2.5864 -2.87767 5.49733
9.11805 14.1577 17.7954 14.1901 -17.5413 -8.22562 24.0149
23.5478 22.8359 9.69074 -1.73091 -0.66676 4.38335 4.75966
10.9634 17.1097 32.2027 -0.388912 -19.4369 -10.3451 22.0219
5.80278 17.2138 10.925 -3.59695 -7.88697 -3.712 9.42981
10.1349 17.6965 32.9652 7.79767 14.4482 -28.348 32.7591
15.0618 6.75922 9.7788 -6.18261 0.687534 3.5082 7.14177
16.9737 0.554155 20.7211 -7.38179 5.43767 6.21572 11.0767
19.0028 -2.83917 -2.09266 5.02943 19.1905 21.7478 29.437
-3.613 32.2578 1.71641 7.43926 -12.9909 3.40904 15.3534
16.7677 24.1079 19.6921 -4.87393 -1.57989 -24.5403 25.0695
19.1542 22.0053 15.7484 -8.52535 10.6644 -5.41844 14.6891
11.5092 4.23419 7.77277 -6.97098 0.758751 0.110164 7.01302
19.2751 3.40201 9.95751 -7.48021 1.08945 -2.07228 7.83803
7.34494 22.879 0.99688 -0.498665 3.62735 2.90243 4.6723
7.17026 6.74392 23.809 -0.481515 -2.37863 -7.84626 8.21301
31.3117 31.8136 2.14422 -10.4231 -7.57999 2.49708 13.1276
-0.618494 9.30788 7.31226 1.12122 0.0560379 -0.181545 1.1372
-3.33747 24.679 6.92408 18.7709 -1.36222 12.8117 22.7671
13.8892 18.5397 30.8416 -0.0283778 -12.0198 -21.1549 24.3312
25.3447 7.00082 29.708 1.08142 -14.2428 -33.8714 36.76
17.3386 7.48439 24.1305 -0.47167 14.0304 -4.1184 14.63
-2.43335 21.3443 10.9175 10.6396 -11.7429 3.98108 16.3385
109.316 30.1631 14.8915 -87.0153 -6.19205 -4.91864 87.3739
13.1628 8.86971 20.3552 8.34307 6.79977 8.27688 13.5776
17.8731 19.8765 23.095 3.13391 -0.849898 -0.783214 3.34023
34.4677 35.2917 -7.38277 -11.0329 -15.0868 10.8069 21.59
4.47921 28.3627 16.4713 12.3079 -7.20155 -18.2254 23.1412
3.54457 9.6726 6.96903 13.5614 9.16063 17.4598 23.9306
16.9883 7.21219 13.4892 -23.3231 -7.02229 -17.4564 29.9667
20.0227 5.84151 10.05 -0.426055 2.48488 -7.20002 7.62866
12.3948 17.1883 31.9676 31.6142 -3.93444 -24.4583 40.164
22.8329 24.2248 6.59032 3.91125 -14.7895 -13.4343 20.3594
16.4546 3.54592 22.8744 -9.30655 -3.97 20.5344 22.8918
19.6114 28.4328 16.695 1.93844 -4.88955 -5.58544 7.67218
22.3999 2.69539 10.3206 5.25293 -8.03395 6.58668 11.6414
19.1815 23.7459 2.22844 -1.40956 4.26859 -5.83198 7.36341
